time,asset,bids,asks
1737072952.526,12,[],[]
1737072952.627,12,[],[]
1737072952.727,12,[],[]
1737072952.828,12,[],[]
1737072952.929,12,[],[]
1737072953.030,12,[],[]
1737072953.131,12,[],[]
1737072953.233,12,[],[]
1737072953.334,12,[],[]
1737072953.435,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.88, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 3.96], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072953.537,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 3.96], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072953.638,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 3.96], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072953.739,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072953.840,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072953.941,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.042,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.143,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.244,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.346,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.447,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.548,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.650,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.751,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.853,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072954.953,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072955.055,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072955.156,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072955.257,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072955.357,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.13, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072955.458,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
1737072955.559,12,[[119.53, 2.28], [119.52, 12.03], [119.46, 2.09], [119.45, 4.36], [119.37, 4.35], [119.21, 3.83], [119.2, 5.85], [118.99, 5.8], [118.93, 33.1], [118.84, 100.0], [118.81, 9.91], [118.52, 9.68], [118.39, 14.0], [118.32, 9.99], [118.1, 4.03], [117.91, 5.73], [117.62, 5.98], [117.05, 2.01], [116.78, 33.1], [115.81, 1.91], [90.0, 0.02], [85.01, 1.0], [77.65, 40.0], [70.6, 177.0], [23.68, 0.44]],[[119.84, 2.08], [119.85, 2.08], [119.86, 8.32], [119.96, 2.26], [120.03, 4.99], [120.04, 11.09], [120.15, 5.9], [120.16, 5.83], [120.18, 12.03], [120.41, 100.0], [120.46, 9.64], [120.62, 9.91], [120.63, 9.74], [120.75, 33.09], [121.11, 5.92], [121.42, 6.02], [121.89, 1.95], [122.83, 33.1], [122.91, 1.93], [160.61, 68.49], [235.33, 53.0], [355.32, 0.04]]
